
--- TABLA 2: MATRIZ DE COSTES UNITARIOS DE TRANSPORTE (cij) ---
Cliente\Instalación | Facility 0 | Facility 1 | Facility 2 | Facility 3 | Facility 4 | Facility 5 | Facility 6 | Facility 7 | Facility 8 | Facility 9 | Facility 10 | Facility 11 | Facility 12 | Facility 13 | Facility 14 | Facility 15 | Facility 16 | Facility 17 | Facility 18 | Facility 19 | Facility 20 | Facility 21 | Facility 22 | Facility 23 | Facility 24 | Facility 25 | Facility 26 | Facility 27 | Facility 28 | Facility 29 | Facility 30 | Facility 31 | Facility 32 | Facility 33 | Facility 34 | Facility 35 | Facility 36 | Facility 37 | Facility 38 | Facility 39 | Facility 40 | Facility 41 | Facility 42 | Facility 43 | Facility 44 | Facility 45 | Facility 46 | Facility 47 | Facility 48 | Facility 49
--------------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+------------
0                   | 38,00      | 60,00      | 52,00      | 86,00      | 68,00      | 85,00      | 49,00      | 101,00     | 54,00      | 64,00      | 97,00       | 56,00       | 59,00       | 27,00       | 71,00       | 50,00       | 45,00       | 74,00       | 31,00       | 57,00       | 14,00       | 62,00       | 54,00       | 54,00       | 79,00       | 66,00       | 43,00       | 33,00       | 60,00       | 41,00       | 62,00       | 71,00       | 21,00       | 22,00       | 41,00       | 40,00       | 44,00       | 105,00      | 60,00       | 66,00       | 91,00       | 29,00       | 80,00       | 85,00       | 86,00       | 30,00       | 66,00       | 35,00       | 79,00       | 27,00      
1                   | 75,00      | 86,00      | 43,00      | 2,00       | 67,00      | 36,00      | 55,00      | 51,00      | 106,00     | 50,00      | 37,00       | 90,00       | 83,00       | 59,00       | 43,00       | 36,00       | 41,00       | 45,00       | 70,00       | 44,00       | 83,00       | 30,00       | 95,00       | 32,00       | 18,00       | 40,00       | 90,00       | 56,00       | 27,00       | 72,00       | 76,00       | 50,00       | 70,00       | 86,00       | 46,00       | 47,00       | 80,00       | 58,00       | 76,00       | 66,00       | 31,00       | 75,00       | 25,00       | 48,00       | 3,00        | 81,00       | 26,00       | 92,00       | 34,00       | 91,00      
2                   | 36,00      | 58,00      | 46,00      | 79,00      | 64,00      | 79,00      | 43,00      | 95,00      | 56,00      | 58,00      | 91,00       | 55,00       | 57,00       | 20,00       | 65,00       | 43,00       | 38,00       | 68,00       | 27,00       | 50,00       | 14,00       | 55,00       | 54,00       | 47,00       | 72,00       | 59,00       | 43,00       | 26,00       | 52,00       | 37,00       | 59,00       | 66,00       | 16,00       | 22,00       | 34,00       | 33,00       | 42,00       | 99,00       | 58,00       | 62,00       | 84,00       | 27,00       | 73,00       | 80,00       | 79,00       | 28,00       | 59,00       | 35,00       | 73,00       | 29,00      
3                   | 19,00      | 27,00      | 55,00      | 61,00      | 18,00      | 40,00      | 6,00       | 52,00      | 47,00      | 73,00      | 52,00       | 30,00       | 24,00       | 36,00       | 24,00       | 34,00       | 37,00       | 78,00       | 61,00       | 62,00       | 40,00       | 30,00       | 36,00       | 36,00       | 64,00       | 67,00       | 32,00       | 26,00       | 44,00       | 71,00       | 20,00       | 22,00       | 31,00       | 66,00       | 31,00       | 28,00       | 78,00       | 55,00       | 19,00       | 16,00       | 81,00       | 24,00       | 40,00       | 36,00       | 62,00       | 69,00       | 56,00       | 79,00       | 36,00       | 39,00      
4                   | 17,00      | 39,00      | 52,00      | 77,00      | 47,00      | 68,00      | 29,00      | 82,00      | 40,00      | 68,00      | 80,00       | 36,00       | 38,00       | 24,00       | 53,00       | 41,00       | 39,00       | 76,00       | 42,00       | 58,00       | 9,00        | 48,00       | 36,00       | 45,00       | 74,00       | 67,00       | 25,00       | 21,00       | 52,00       | 53,00       | 40,00       | 52,00       | 9,00        | 41,00       | 32,00       | 30,00       | 59,00       | 85,00       | 39,00       | 45,00       | 88,00       | 8,00        | 65,00       | 66,00       | 77,00       | 46,00       | 62,00       | 54,00       | 63,00       | 16,00      
5                   | 23,00      | 31,00      | 53,00      | 57,00      | 19,00      | 36,00      | 5,00       | 48,00      | 51,00      | 70,00      | 48,00       | 35,00       | 28,00       | 36,00       | 20,00       | 32,00       | 35,00       | 75,00       | 60,00       | 59,00       | 43,00       | 25,00       | 40,00       | 33,00       | 60,00       | 64,00       | 36,00       | 26,00       | 41,00       | 70,00       | 23,00       | 18,00       | 33,00       | 67,00       | 29,00       | 26,00       | 78,00       | 52,00       | 22,00       | 17,00       | 78,00       | 28,00       | 36,00       | 33,00       | 57,00       | 69,00       | 53,00       | 79,00       | 31,00       | 43,00      
6                   | 71,00      | 91,00      | 15,00      | 54,00      | 85,00      | 77,00      | 62,00      | 95,00      | 99,00      | 11,00      | 85,00       | 92,00       | 89,00       | 36,00       | 71,00       | 36,00       | 31,00       | 21,00       | 24,00       | 11,00       | 60,00       | 51,00       | 94,00       | 38,00       | 39,00       | 17,00       | 84,00       | 44,00       | 34,00       | 20,00       | 87,00       | 76,00       | 51,00       | 40,00       | 37,00       | 40,00       | 27,00       | 102,00      | 86,00       | 83,00       | 43,00       | 64,00       | 66,00       | 85,00       | 53,00       | 33,00       | 29,00       | 41,00       | 71,00       | 74,00      
7                   | 31,00      | 28,00      | 90,00      | 107,00     | 50,00      | 86,00      | 51,00      | 93,00      | 3,00       | 106,00     | 97,00       | 21,00       | 30,00       | 62,00       | 70,00       | 75,00       | 75,00       | 114,00      | 80,00       | 96,00       | 40,00       | 76,00       | 14,00       | 78,00       | 108,00      | 104,00      | 16,00       | 57,00       | 86,00       | 91,00       | 38,00       | 66,00       | 47,00       | 74,00       | 67,00       | 64,00       | 96,00       | 94,00       | 37,00       | 49,00       | 124,00      | 34,00       | 88,00       | 79,00       | 108,00      | 82,00       | 97,00       | 87,00       | 82,00       | 25,00      
8                   | 29,00      | 47,00      | 33,00      | 51,00      | 41,00      | 47,00      | 17,00      | 63,00      | 60,00      | 50,00      | 58,00       | 48,00       | 44,00       | 16,00       | 34,00       | 16,00       | 16,00       | 56,00       | 39,00       | 40,00       | 33,00       | 23,00       | 52,00       | 19,00       | 48,00       | 46,00       | 43,00       | 6,00        | 27,00       | 48,00       | 42,00       | 36,00       | 20,00       | 48,00       | 9,00        | 5,00        | 56,00       | 68,00       | 41,00       | 39,00       | 64,00       | 26,00       | 41,00       | 49,00       | 51,00       | 48,00       | 38,00       | 59,00       | 41,00       | 41,00      
