
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación    | Carga Total | Capacidad | Estado 
---------------+-------------+-----------+--------
Instalación 0  | 90,00       | 90,00     | ✓Límite
Instalación 1  | 0,00        | 40,00     | ✓OK    
Instalación 2  | 25,00       | 40,00     | ✓OK    
Instalación 3  | 78,00       | 90,00     | ✓OK    
Instalación 4  | 48,00       | 50,00     | ✓OK    
Instalación 5  | 0,00        | 100,00    | ✓OK    
Instalación 6  | 60,00       | 60,00     | ✓Límite
Instalación 7  | 0,00        | 50,00     | ✓OK    
Instalación 8  | 40,00       | 100,00    | ✓OK    
Instalación 9  | 0,00        | 50,00     | ✓OK    
Instalación 10 | 48,00       | 90,00     | ✓OK    
Instalación 11 | 0,00        | 30,00     | ✓OK    
Instalación 12 | 25,00       | 30,00     | ✓OK    
Instalación 13 | 40,00       | 40,00     | ✓Límite
Instalación 14 | 0,00        | 50,00     | ✓OK    
Instalación 15 | 0,00        | 70,00     | ✓OK    
Instalación 16 | 0,00        | 100,00    | ✓OK    
Instalación 17 | 0,00        | 60,00     | ✓OK    
Instalación 18 | 30,00       | 30,00     | ✓Límite
Instalación 19 | 50,00       | 50,00     | ✓Límite
Instalación 20 | 80,00       | 80,00     | ✓Límite
Instalación 21 | 43,00       | 70,00     | ✓OK    
Instalación 22 | 0,00        | 100,00    | ✓OK    
Instalación 23 | 29,00       | 60,00     | ✓OK    
Instalación 24 | 0,00        | 70,00     | ✓OK    
Instalación 25 | 0,00        | 40,00     | ✓OK    
Instalación 26 | 0,00        | 70,00     | ✓OK    
Instalación 27 | 0,00        | 40,00     | ✓OK    
Instalación 28 | 0,00        | 100,00    | ✓OK    
Instalación 29 | 75,00       | 80,00     | ✓OK    
Instalación 30 | 0,00        | 80,00     | ✓OK    
Instalación 31 | 70,00       | 70,00     | ✓Límite
Instalación 32 | 66,00       | 80,00     | ✓OK    
Instalación 33 | 30,00       | 30,00     | ✓Límite
Instalación 34 | 0,00        | 30,00     | ✓OK    
Instalación 35 | 90,00       | 90,00     | ✓Límite
Instalación 36 | 0,00        | 40,00     | ✓OK    
Instalación 37 | 0,00        | 60,00     | ✓OK    
Instalación 38 | 50,00       | 50,00     | ✓Límite
Instalación 39 | 0,00        | 100,00    | ✓OK    
Instalación 40 | 44,00       | 60,00     | ✓OK    
Instalación 41 | 0,00        | 70,00     | ✓OK    
Instalación 42 | 60,00       | 60,00     | ✓Límite
Instalación 43 | 0,00        | 90,00     | ✓OK    
Instalación 44 | 0,00        | 30,00     | ✓OK    
Instalación 45 | 52,00       | 80,00     | ✓OK    
Instalación 46 | 29,00       | 70,00     | ✓OK    
Instalación 47 | 40,00       | 40,00     | ✓Límite
Instalación 48 | 88,00       | 100,00    | ✓OK    
Instalación 49 | 80,00       | 80,00     | ✓Límite

Incompatibilidades
Par incompatible | Estado
-----------------+-------
-                | ✓OK   
