
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0  | 930,00          | 100,00        
1  | 570,00          | 60,00         
2  | 1180,00         | 100,00        
3  | 400,00          | 50,00         
4  | 660,00          | 80,00         
5  | 360,00          | 50,00         
6  | 580,00          | 60,00         
7  | 970,00          | 90,00         
8  | 1060,00         | 100,00        
9  | 510,00          | 50,00         
10 | 510,00          | 40,00         
11 | 820,00          | 70,00         
12 | 380,00          | 30,00         
13 | 510,00          | 60,00         
14 | 810,00          | 80,00         
15 | 340,00          | 30,00         
16 | 970,00          | 100,00        
17 | 430,00          | 50,00         
18 | 820,00          | 80,00         
19 | 1290,00         | 100,00        
20 | 360,00          | 30,00         
21 | 270,00          | 30,00         
22 | 1100,00         | 100,00        
23 | 640,00          | 70,00         
24 | 1030,00         | 100,00        
25 | 890,00          | 80,00         
26 | 830,00          | 80,00         
27 | 830,00          | 90,00         
28 | 210,00          | 30,00         
29 | 700,00          | 90,00         
30 | 970,00          | 90,00         
31 | 670,00          | 90,00         
32 | 570,00          | 50,00         
33 | 440,00          | 40,00         
34 | 670,00          | 60,00         
35 | 340,00          | 40,00         
36 | 1030,00         | 90,00         
37 | 880,00          | 80,00         
38 | 380,00          | 50,00         
39 | 750,00          | 60,00         
40 | 940,00          | 100,00        
41 | 320,00          | 40,00         
42 | 470,00          | 40,00         
43 | 650,00          | 60,00         
44 | 1030,00         | 80,00         
45 | 670,00          | 90,00         
46 | 380,00          | 50,00         
47 | 360,00          | 30,00         
48 | 590,00          | 50,00         
49 | 1130,00         | 90,00         
50 | 870,00          | 70,00         
51 | 830,00          | 100,00        
52 | 330,00          | 30,00         
53 | 580,00          | 70,00         
54 | 650,00          | 60,00         
55 | 300,00          | 40,00         
56 | 530,00          | 60,00         
57 | 660,00          | 90,00         
58 | 590,00          | 50,00         
59 | 560,00          | 50,00         
60 | 1070,00         | 100,00        
61 | 270,00          | 30,00         
62 | 770,00          | 60,00         
63 | 560,00          | 60,00         
64 | 810,00          | 90,00         
65 | 500,00          | 50,00         
66 | 320,00          | 40,00         
67 | 890,00          | 80,00         
68 | 1130,00         | 90,00         
69 | 730,00          | 80,00         
70 | 990,00          | 100,00        
71 | 440,00          | 40,00         
72 | 370,00          | 30,00         
73 | 1040,00         | 90,00         
74 | 620,00          | 50,00         
75 | 980,00          | 90,00         
76 | 300,00          | 40,00         
77 | 1030,00         | 100,00        
78 | 560,00          | 50,00         
79 | 440,00          | 60,00         
80 | 830,00          | 80,00         
81 | 510,00          | 70,00         
82 | 910,00          | 90,00         
83 | 860,00          | 70,00         
84 | 900,00          | 90,00         
85 | 480,00          | 40,00         
86 | 680,00          | 60,00         
87 | 340,00          | 40,00         
88 | 840,00          | 70,00         
89 | 360,00          | 40,00         
90 | 670,00          | 90,00         
91 | 560,00          | 50,00         
92 | 650,00          | 60,00         
93 | 860,00          | 70,00         
94 | 640,00          | 90,00         
95 | 1300,00         | 100,00        
96 | 870,00          | 80,00         
97 | 760,00          | 70,00         
98 | 560,00          | 50,00         
99 | 350,00          | 30,00         

Clientes (Customers)
ID  | Demanda (di) | Incompatibilidad
----+--------------+-----------------
0   | 13,00        | -               
1   | 18,00        | -               
2   | 19,00        | -               
3   | 7,00         | -               
4   | 13,00        | -               
5   | 11,00        | -               
6   | 13,00        | -               
7   | 12,00        | -               
8   | 13,00        | -               
9   | 5,00         | -               
10  | 10,00        | -               
11  | 9,00         | -               
12  | 20,00        | -               
13  | 17,00        | -               
14  | 6,00         | -               
15  | 6,00         | -               
16  | 12,00        | -               
17  | 18,00        | -               
18  | 10,00        | -               
19  | 8,00         | -               
20  | 20,00        | -               
21  | 9,00         | -               
22  | 13,00        | -               
23  | 8,00         | -               
24  | 14,00        | -               
25  | 12,00        | -               
26  | 9,00         | -               
27  | 18,00        | -               
28  | 19,00        | -               
29  | 9,00         | -               
30  | 8,00         | -               
31  | 20,00        | -               
32  | 10,00        | -               
33  | 11,00        | -               
