
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación    | Demanda | Asignada | Porcentaje (%)
------------+----------------+---------+----------+---------------
Cliente 0   | Instalación 46 | 13,00   | 13,00    | 100,0 %       
Cliente 1   | Instalación 17 | 18,00   | 18,00    | 100,0 %       
Cliente 2   | Instalación 43 | 19,00   | 19,00    | 100,0 %       
Cliente 3   | Instalación 43 | 7,00    | 7,00     | 100,0 %       
Cliente 4   | Instalación 61 | 13,00   | 13,00    | 100,0 %       
Cliente 5   | Instalación 14 | 11,00   | 8,00     | 72,7 %        
Cliente 5   | Instalación 24 | 11,00   | 3,00     | 27,3 %        
Cliente 6   | Instalación 46 | 13,00   | 13,00    | 100,0 %       
Cliente 7   | Instalación 5  | 12,00   | 12,00    | 100,0 %       
Cliente 8   | Instalación 51 | 13,00   | 13,00    | 100,0 %       
Cliente 9   | Instalación 77 | 5,00    | 5,00     | 100,0 %       
Cliente 10  | Instalación 9  | 10,00   | 10,00    | 100,0 %       
Cliente 11  | Instalación 43 | 9,00    | 9,00     | 100,0 %       
Cliente 12  | Instalación 30 | 20,00   | 20,00    | 100,0 %       
Cliente 13  | Instalación 13 | 17,00   | 17,00    | 100,0 %       
Cliente 14  | Instalación 28 | 6,00    | 6,00     | 100,0 %       
Cliente 15  | Instalación 47 | 6,00    | 6,00     | 100,0 %       
Cliente 16  | Instalación 99 | 12,00   | 12,00    | 100,0 %       
Cliente 17  | Instalación 38 | 18,00   | 18,00    | 100,0 %       
Cliente 18  | Instalación 39 | 10,00   | 10,00    | 100,0 %       
Cliente 19  | Instalación 57 | 8,00    | 8,00     | 100,0 %       
Cliente 20  | Instalación 57 | 20,00   | 20,00    | 100,0 %       
Cliente 21  | Instalación 57 | 9,00    | 9,00     | 100,0 %       
Cliente 22  | Instalación 14 | 13,00   | 13,00    | 100,0 %       
Cliente 23  | Instalación 70 | 8,00    | 8,00     | 100,0 %       
Cliente 24  | Instalación 81 | 14,00   | 14,00    | 100,0 %       
Cliente 25  | Instalación 24 | 12,00   | 12,00    | 100,0 %       
Cliente 26  | Instalación 36 | 9,00    | 9,00     | 100,0 %       
Cliente 27  | Instalación 36 | 18,00   | 18,00    | 100,0 %       
Cliente 28  | Instalación 64 | 19,00   | 19,00    | 100,0 %       
Cliente 29  | Instalación 16 | 9,00    | 9,00     | 100,0 %       
Cliente 30  | Instalación 96 | 8,00    | 8,00     | 100,0 %       
Cliente 31  | Instalación 13 | 20,00   | 20,00    | 100,0 %       
Cliente 32  | Instalación 34 | 10,00   | 10,00    | 100,0 %       
Cliente 33  | Instalación 81 | 11,00   | 11,00    | 100,0 %       
Cliente 34  | Instalación 3  | 17,00   | 17,00    | 100,0 %       
Cliente 35  | Instalación 70 | 14,00   | 14,00    | 100,0 %       
Cliente 36  | Instalación 79 | 13,00   | 13,00    | 100,0 %       
Cliente 37  | Instalación 26 | 16,00   | 16,00    | 100,0 %       
Cliente 38  | Instalación 34 | 13,00   | 3,00     | 23,1 %        
Cliente 38  | Instalación 48 | 13,00   | 10,00    | 76,9 %        
Cliente 39  | Instalación 7  | 12,00   | 12,00    | 100,0 %       
Cliente 40  | Instalación 56 | 5,00    | 5,00     | 100,0 %       
Cliente 41  | Instalación 90 | 9,00    | 9,00     | 100,0 %       
Cliente 42  | Instalación 65 | 11,00   | 11,00    | 100,0 %       
Cliente 43  | Instalación 23 | 7,00    | 7,00     | 100,0 %       
Cliente 44  | Instalación 34 | 14,00   | 14,00    | 100,0 %       
Cliente 45  | Instalación 9  | 20,00   | 20,00    | 100,0 %       
