
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación    | Cantidad (q) | Coste Unitario (c) | Subtotal
------------+----------------+--------------+--------------------+---------
Cliente 0   | Instalación 44 | 13,00        | 17,00              | 221,00  
Cliente 1   | Instalación 54 | 18,00        | 3,00               | 54,00   
Cliente 2   | Instalación 43 | 19,00        | 4,00               | 76,00   
Cliente 3   | Instalación 43 | 7,00         | 5,00               | 35,00   
Cliente 4   | Instalación 61 | 13,00        | 2,00               | 26,00   
Cliente 5   | Instalación 18 | 11,00        | 9,00               | 99,00   
Cliente 6   | Instalación 61 | 13,00        | 6,00               | 78,00   
Cliente 7   | Instalación 49 | 12,00        | 1,00               | 12,00   
Cliente 8   | Instalación 8  | 13,00        | 7,00               | 91,00   
Cliente 9   | Instalación 77 | 5,00         | 5,00               | 25,00   
Cliente 10  | Instalación 39 | 10,00        | 18,00              | 180,00  
Cliente 11  | Instalación 43 | 9,00         | 5,00               | 45,00   
Cliente 12  | Instalación 30 | 20,00        | 3,00               | 60,00   
Cliente 13  | Instalación 21 | 17,00        | 15,00              | 255,00  
Cliente 14  | Instalación 28 | 6,00         | 4,00               | 24,00   
Cliente 15  | Instalación 97 | 6,00         | 3,00               | 18,00   
Cliente 16  | Instalación 66 | 12,00        | 5,00               | 60,00   
Cliente 17  | Instalación 38 | 18,00        | 5,00               | 90,00   
Cliente 18  | Instalación 30 | 10,00        | 5,00               | 50,00   
Cliente 19  | Instalación 55 | 8,00         | 3,00               | 24,00   
Cliente 20  | Instalación 55 | 20,00        | 6,00               | 120,00  
Cliente 21  | Instalación 55 | 9,00         | 22,00              | 198,00  
Cliente 22  | Instalación 51 | 13,00        | 13,00              | 169,00  
Cliente 23  | Instalación 61 | 4,00         | 3,00               | 12,00   
Cliente 23  | Instalación 70 | 4,00         | 5,00               | 20,00   
Cliente 24  | Instalación 81 | 14,00        | 7,00               | 98,00   
Cliente 25  | Instalación 24 | 12,00        | 3,00               | 36,00   
Cliente 26  | Instalación 36 | 9,00         | 7,00               | 63,00   
Cliente 27  | Instalación 76 | 18,00        | 5,00               | 90,00   
Cliente 28  | Instalación 55 | 3,00         | 17,00              | 51,00   
Cliente 28  | Instalación 64 | 16,00        | 8,00               | 128,00  
Cliente 29  | Instalación 41 | 9,00         | 8,00               | 72,00   
Cliente 30  | Instalación 70 | 8,00         | 10,00              | 80,00   
Cliente 31  | Instalación 13 | 20,00        | 4,00               | 80,00   
Cliente 32  | Instalación 49 | 10,00        | 11,00              | 110,00  
Cliente 33  | Instalación 81 | 11,00        | 13,00              | 143,00  
Cliente 34  | Instalación 8  | 17,00        | 10,00              | 170,00  
Cliente 35  | Instalación 70 | 14,00        | 5,00               | 70,00   
Cliente 36  | Instalación 79 | 13,00        | 2,00               | 26,00   
Cliente 37  | Instalación 26 | 16,00        | 14,00              | 224,00  
Cliente 38  | Instalación 49 | 13,00        | 7,00               | 91,00   
Cliente 39  | Instalación 7  | 12,00        | 14,00              | 168,00  
Cliente 40  | Instalación 56 | 5,00         | 8,00               | 40,00   
Cliente 41  | Instalación 90 | 9,00         | 10,00              | 90,00   
Cliente 42  | Instalación 79 | 11,00        | 11,00              | 121,00  
Cliente 43  | Instalación 5  | 7,00         | 4,00               | 28,00   
Cliente 44  | Instalación 8  | 14,00        | 6,00               | 84,00   
Cliente 45  | Instalación 39 | 20,00        | 9,00               | 180,00  
Cliente 46  | Instalación 30 | 13,00        | 9,00               | 117,00  
Cliente 47  | Instalación 51 | 18,00        | 16,00              | 288,00  
Cliente 48  | Instalación 58 | 8,00         | 5,00               | 40,00   
Cliente 49  | Instalación 94 | 19,00        | 4,00               | 76,00   
Cliente 50  | Instalación 23 | 7,00         | 5,00               | 35,00   
