
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID  | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0   | 1200,00         | 100,00        
1   | 600,00          | 50,00         
2   | 420,00          | 40,00         
3   | 520,00          | 50,00         
4   | 770,00          | 100,00        
5   | 500,00          | 70,00         
6   | 630,00          | 80,00         
7   | 390,00          | 30,00         
8   | 770,00          | 80,00         
9   | 700,00          | 60,00         
10  | 330,00          | 40,00         
11  | 570,00          | 50,00         
12  | 630,00          | 80,00         
13  | 1010,00         | 80,00         
14  | 1080,00         | 100,00        
15  | 380,00          | 40,00         
16  | 810,00          | 80,00         
17  | 940,00          | 90,00         
18  | 400,00          | 50,00         
19  | 750,00          | 100,00        
20  | 700,00          | 70,00         
21  | 1020,00         | 90,00         
22  | 890,00          | 100,00        
23  | 1140,00         | 90,00         
24  | 720,00          | 100,00        
25  | 950,00          | 90,00         
26  | 400,00          | 40,00         
27  | 780,00          | 60,00         
28  | 320,00          | 30,00         
29  | 380,00          | 50,00         
30  | 870,00          | 90,00         
31  | 570,00          | 60,00         
32  | 330,00          | 30,00         
33  | 320,00          | 40,00         
34  | 450,00          | 40,00         
35  | 950,00          | 90,00         
36  | 420,00          | 40,00         
37  | 360,00          | 50,00         
38  | 680,00          | 80,00         
39  | 680,00          | 60,00         
40  | 910,00          | 70,00         
41  | 680,00          | 70,00         
42  | 380,00          | 30,00         
43  | 590,00          | 80,00         
44  | 280,00          | 30,00         
45  | 1040,00         | 100,00        
46  | 490,00          | 40,00         
47  | 370,00          | 40,00         
48  | 1230,00         | 100,00        
49  | 580,00          | 50,00         
50  | 840,00          | 70,00         
51  | 860,00          | 100,00        
52  | 770,00          | 70,00         
53  | 890,00          | 100,00        
54  | 560,00          | 60,00         
55  | 1120,00         | 90,00         
56  | 370,00          | 30,00         
57  | 1290,00         | 100,00        
58  | 1090,00         | 90,00         
59  | 500,00          | 50,00         
60  | 410,00          | 40,00         
61  | 300,00          | 30,00         
62  | 950,00          | 90,00         
63  | 330,00          | 30,00         
64  | 760,00          | 60,00         
65  | 600,00          | 70,00         
66  | 1140,00         | 100,00        
67  | 770,00          | 100,00        
68  | 890,00          | 70,00         
69  | 770,00          | 80,00         
70  | 660,00          | 70,00         
71  | 920,00          | 80,00         
72  | 900,00          | 90,00         
73  | 540,00          | 60,00         
74  | 830,00          | 70,00         
75  | 800,00          | 70,00         
76  | 210,00          | 30,00         
77  | 630,00          | 60,00         
78  | 790,00          | 90,00         
79  | 370,00          | 50,00         
80  | 740,00          | 70,00         
81  | 290,00          | 30,00         
82  | 1050,00         | 90,00         
83  | 630,00          | 50,00         
84  | 780,00          | 80,00         
85  | 1230,00         | 100,00        
86  | 740,00          | 60,00         
87  | 350,00          | 30,00         
88  | 370,00          | 50,00         
89  | 500,00          | 40,00         
90  | 400,00          | 40,00         
91  | 1280,00         | 100,00        
92  | 410,00          | 40,00         
93  | 470,00          | 50,00         
94  | 910,00          | 100,00        
95  | 910,00          | 90,00         
