
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación     | Demanda | Asignada | Porcentaje (%)
------------+-----------------+---------+----------+---------------
Cliente 0   | Instalación 106 | 19,00   | 19,00    | 100,0 %       
Cliente 1   | Instalación 21  | 14,00   | 14,00    | 100,0 %       
Cliente 2   | Instalación 12  | 12,00   | 12,00    | 100,0 %       
Cliente 3   | Instalación 12  | 5,00    | 5,00     | 100,0 %       
Cliente 4   | Instalación 104 | 10,00   | 10,00    | 100,0 %       
Cliente 5   | Instalación 20  | 16,00   | 16,00    | 100,0 %       
Cliente 6   | Instalación 93  | 6,00    | 6,00     | 100,0 %       
Cliente 7   | Instalación 144 | 14,00   | 14,00    | 100,0 %       
Cliente 8   | Instalación 19  | 14,00   | 14,00    | 100,0 %       
Cliente 9   | Instalación 41  | 19,00   | 19,00    | 100,0 %       
Cliente 10  | Instalación 20  | 14,00   | 14,00    | 100,0 %       
Cliente 11  | Instalación 65  | 15,00   | 15,00    | 100,0 %       
Cliente 12  | Instalación 118 | 9,00    | 9,00     | 100,0 %       
Cliente 13  | Instalación 98  | 8,00    | 8,00     | 100,0 %       
Cliente 14  | Instalación 149 | 10,00   | 10,00    | 100,0 %       
Cliente 15  | Instalación 28  | 9,00    | 9,00     | 100,0 %       
Cliente 16  | Instalación 180 | 9,00    | 9,00     | 100,0 %       
Cliente 17  | Instalación 144 | 5,00    | 5,00     | 100,0 %       
Cliente 18  | Instalación 145 | 16,00   | 16,00    | 100,0 %       
Cliente 19  | Instalación 106 | 20,00   | 20,00    | 100,0 %       
Cliente 20  | Instalación 53  | 12,00   | 12,00    | 100,0 %       
Cliente 21  | Instalación 70  | 20,00   | 20,00    | 100,0 %       
Cliente 22  | Instalación 151 | 15,00   | 15,00    | 100,0 %       
Cliente 23  | Instalación 82  | 7,00    | 7,00     | 100,0 %       
Cliente 24  | Instalación 169 | 10,00   | 10,00    | 100,0 %       
Cliente 25  | Instalación 28  | 6,00    | 6,00     | 100,0 %       
Cliente 26  | Instalación 19  | 19,00   | 16,00    | 84,2 %        
Cliente 26  | Instalación 62  | 19,00   | 3,00     | 15,8 %        
Cliente 27  | Instalación 68  | 12,00   | 12,00    | 100,0 %       
Cliente 28  | Instalación 93  | 15,00   | 15,00    | 100,0 %       
Cliente 29  | Instalación 152 | 13,00   | 13,00    | 100,0 %       
Cliente 30  | Instalación 9   | 16,00   | 16,00    | 100,0 %       
Cliente 31  | Instalación 170 | 13,00   | 13,00    | 100,0 %       
Cliente 32  | Instalación 28  | 13,00   | 4,00     | 30,8 %        
Cliente 32  | Instalación 65  | 13,00   | 9,00     | 69,2 %        
Cliente 33  | Instalación 71  | 10,00   | 10,00    | 100,0 %       
Cliente 34  | Instalación 23  | 19,00   | 19,00    | 100,0 %       
Cliente 35  | Instalación 170 | 17,00   | 17,00    | 100,0 %       
Cliente 36  | Instalación 12  | 20,00   | 20,00    | 100,0 %       
Cliente 37  | Instalación 183 | 5,00    | 5,00     | 100,0 %       
Cliente 38  | Instalación 158 | 17,00   | 17,00    | 100,0 %       
Cliente 39  | Instalación 158 | 13,00   | 13,00    | 100,0 %       
Cliente 40  | Instalación 183 | 18,00   | 18,00    | 100,0 %       
Cliente 41  | Instalación 93  | 19,00   | 19,00    | 100,0 %       
Cliente 42  | Instalación 71  | 16,00   | 16,00    | 100,0 %       
Cliente 43  | Instalación 71  | 14,00   | 14,00    | 100,0 %       
Cliente 44  | Instalación 17  | 17,00   | 17,00    | 100,0 %       
Cliente 45  | Instalación 144 | 8,00    | 8,00     | 100,0 %       
Cliente 46  | Instalación 130 | 11,00   | 11,00    | 100,0 %       
Cliente 47  | Instalación 41  | 9,00    | 9,00     | 100,0 %       
Cliente 48  | Instalación 144 | 6,00    | 6,00     | 100,0 %       
Cliente 49  | Instalación 61  | 15,00   | 15,00    | 100,0 %       
Cliente 50  | Instalación 124 | 6,00    | 6,00     | 100,0 %       
Cliente 51  | Instalación 23  | 20,00   | 20,00    | 100,0 %       
Cliente 52  | Instalación 178 | 19,00   | 19,00    | 100,0 %       
Cliente 53  | Instalación 71  | 9,00    | 9,00     | 100,0 %       
Cliente 54  | Instalación 196 | 12,00   | 12,00    | 100,0 %       
