
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
------------+-----------------+--------------+--------------------+---------
Cliente 0   | Instalación 106 | 19,00        | 4,00               | 76,00   
Cliente 1   | Instalación 73  | 14,00        | 7,00               | 98,00   
Cliente 2   | Instalación 12  | 12,00        | 4,00               | 48,00   
Cliente 3   | Instalación 180 | 5,00         | 10,00              | 50,00   
Cliente 4   | Instalación 104 | 10,00        | 0,00               | 0,00    
Cliente 5   | Instalación 20  | 16,00        | 1,00               | 16,00   
Cliente 6   | Instalación 179 | 6,00         | 2,00               | 12,00   
Cliente 7   | Instalación 144 | 14,00        | 5,00               | 70,00   
Cliente 8   | Instalación 188 | 14,00        | 5,00               | 70,00   
Cliente 9   | Instalación 41  | 19,00        | 3,00               | 57,00   
Cliente 10  | Instalación 174 | 14,00        | 4,00               | 56,00   
Cliente 11  | Instalación 131 | 15,00        | 7,00               | 105,00  
Cliente 12  | Instalación 161 | 9,00         | 11,00              | 99,00   
Cliente 13  | Instalación 98  | 8,00         | 1,00               | 8,00    
Cliente 14  | Instalación 70  | 10,00        | 5,00               | 50,00   
Cliente 15  | Instalación 28  | 9,00         | 1,00               | 9,00    
Cliente 16  | Instalación 143 | 9,00         | 6,00               | 54,00   
Cliente 17  | Instalación 46  | 5,00         | 5,00               | 25,00   
Cliente 18  | Instalación 145 | 16,00        | 6,00               | 96,00   
Cliente 19  | Instalación 28  | 20,00        | 12,00              | 240,00  
Cliente 20  | Instalación 133 | 12,00        | 12,00              | 144,00  
Cliente 21  | Instalación 135 | 20,00        | 6,00               | 120,00  
Cliente 22  | Instalación 196 | 15,00        | 8,00               | 120,00  
Cliente 23  | Instalación 82  | 7,00         | 3,00               | 21,00   
Cliente 24  | Instalación 169 | 10,00        | 1,00               | 10,00   
Cliente 25  | Instalación 12  | 6,00         | 14,00              | 84,00   
Cliente 26  | Instalación 62  | 19,00        | 4,00               | 76,00   
Cliente 27  | Instalación 144 | 12,00        | 1,00               | 12,00   
Cliente 28  | Instalación 179 | 15,00        | 7,00               | 105,00  
Cliente 29  | Instalación 152 | 13,00        | 2,00               | 26,00   
Cliente 30  | Instalación 9   | 16,00        | 11,00              | 176,00  
Cliente 31  | Instalación 170 | 13,00        | 4,00               | 52,00   
Cliente 32  | Instalación 149 | 13,00        | 10,00              | 130,00  
Cliente 33  | Instalación 71  | 10,00        | 1,00               | 10,00   
Cliente 34  | Instalación 23  | 19,00        | 4,00               | 76,00   
Cliente 35  | Instalación 170 | 17,00        | 8,00               | 136,00  
Cliente 36  | Instalación 66  | 20,00        | 6,00               | 120,00  
Cliente 37  | Instalación 145 | 5,00         | 6,00               | 30,00   
Cliente 38  | Instalación 28  | 8,00         | 11,00              | 88,00   
Cliente 38  | Instalación 74  | 9,00         | 7,00               | 63,00   
Cliente 39  | Instalación 158 | 13,00        | 3,00               | 39,00   
Cliente 40  | Instalación 183 | 18,00        | 1,00               | 18,00   
Cliente 41  | Instalación 105 | 19,00        | 6,00               | 114,00  
Cliente 42  | Instalación 71  | 16,00        | 1,00               | 16,00   
Cliente 43  | Instalación 125 | 14,00        | 3,00               | 42,00   
Cliente 44  | Instalación 27  | 17,00        | 0,00               | 0,00    
Cliente 45  | Instalación 144 | 8,00         | 9,00               | 72,00   
Cliente 46  | Instalación 63  | 11,00        | 4,00               | 44,00   
Cliente 47  | Instalación 19  | 9,00         | 9,00               | 81,00   
Cliente 48  | Instalación 144 | 6,00         | 7,00               | 42,00   
Cliente 49  | Instalación 78  | 15,00        | 5,00               | 75,00   
Cliente 50  | Instalación 142 | 6,00         | 2,00               | 12,00   
Cliente 51  | Instalación 23  | 20,00        | 2,00               | 40,00   
Cliente 52  | Instalación 178 | 19,00        | 4,00               | 76,00   
Cliente 53  | Instalación 67  | 9,00         | 17,00              | 153,00  
Cliente 54  | Instalación 196 | 12,00        | 1,00               | 12,00   
Cliente 55  | Instalación 35  | 17,00        | 5,00               | 85,00   
Cliente 56  | Instalación 78  | 12,00        | 8,00               | 96,00   
Cliente 57  | Instalación 83  | 12,00        | 6,00               | 72,00   
Cliente 58  | Instalación 190 | 15,00        | 3,00               | 45,00   
Cliente 59  | Instalación 196 | 6,00         | 4,00               | 24,00   
Cliente 60  | Instalación 126 | 20,00        | 3,00               | 60,00   
Cliente 61  | Instalación 145 | 8,00         | 4,00               | 32,00   
Cliente 62  | Instalación 178 | 14,00        | 10,00              | 140,00  
Cliente 63  | Instalación 59  | 20,00        | 13,00              | 260,00  
Cliente 64  | Instalación 174 | 5,00         | 10,00              | 50,00   
Cliente 65  | Instalación 152 | 11,00        | 8,00               | 88,00   
Cliente 66  | Instalación 12  | 10,00        | 13,00              | 130,00  
Cliente 67  | Instalación 57  | 16,00        | 2,00               | 32,00   
