
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
----------------+-------------+-----------+--------
Instalación 0   | 0,00        | 50,00     | ✓OK    
Instalación 1   | 0,00        | 50,00     | ✓OK    
Instalación 2   | 0,00        | 80,00     | ✓OK    
Instalación 3   | 59,00       | 60,00     | ✓OK    
Instalación 4   | 0,00        | 50,00     | ✓OK    
Instalación 5   | 0,00        | 40,00     | ✓OK    
Instalación 6   | 0,00        | 100,00    | ✓OK    
Instalación 7   | 60,00       | 60,00     | ✓Límite
Instalación 8   | 70,00       | 70,00     | ✓Límite
Instalación 9   | 99,00       | 100,00    | ✓OK    
Instalación 10  | 0,00        | 40,00     | ✓OK    
Instalación 11  | 80,00       | 80,00     | ✓Límite
Instalación 12  | 60,00       | 60,00     | ✓Límite
Instalación 13  | 0,00        | 30,00     | ✓OK    
Instalación 14  | 0,00        | 80,00     | ✓OK    
Instalación 15  | 67,00       | 70,00     | ✓OK    
Instalación 16  | 49,00       | 50,00     | ✓OK    
Instalación 17  | 60,00       | 60,00     | ✓Límite
Instalación 18  | 0,00        | 60,00     | ✓OK    
Instalación 19  | 0,00        | 30,00     | ✓OK    
Instalación 20  | 0,00        | 50,00     | ✓OK    
Instalación 21  | 0,00        | 100,00    | ✓OK    
Instalación 22  | 0,00        | 80,00     | ✓OK    
Instalación 23  | 30,00       | 30,00     | ✓Límite
Instalación 24  | 50,00       | 50,00     | ✓Límite
Instalación 25  | 59,00       | 60,00     | ✓OK    
Instalación 26  | 100,00      | 100,00    | ✓Límite
Instalación 27  | 57,00       | 60,00     | ✓OK    
Instalación 28  | 0,00        | 40,00     | ✓OK    
Instalación 29  | 47,00       | 50,00     | ✓OK    
Instalación 30  | 99,00       | 100,00    | ✓OK    
Instalación 31  | 0,00        | 40,00     | ✓OK    
Instalación 32  | 0,00        | 30,00     | ✓OK    
Instalación 33  | 0,00        | 100,00    | ✓OK    
Instalación 34  | 80,00       | 80,00     | ✓Límite
Instalación 35  | 69,00       | 70,00     | ✓OK    
Instalación 36  | 0,00        | 100,00    | ✓OK    
Instalación 37  | 50,00       | 50,00     | ✓Límite
Instalación 38  | 0,00        | 30,00     | ✓OK    
Instalación 39  | 0,00        | 30,00     | ✓OK    
Instalación 40  | 0,00        | 60,00     | ✓OK    
Instalación 41  | 40,00       | 40,00     | ✓Límite
Instalación 42  | 0,00        | 50,00     | ✓OK    
Instalación 43  | 0,00        | 80,00     | ✓OK    
Instalación 44  | 0,00        | 40,00     | ✓OK    
Instalación 45  | 29,00       | 30,00     | ✓OK    
Instalación 46  | 90,00       | 90,00     | ✓Límite
Instalación 47  | 0,00        | 50,00     | ✓OK    
Instalación 48  | 0,00        | 40,00     | ✓OK    
Instalación 49  | 100,00      | 100,00    | ✓Límite
Instalación 50  | 50,00       | 50,00     | ✓Límite
Instalación 51  | 0,00        | 70,00     | ✓OK    
Instalación 52  | 30,00       | 30,00     | ✓Límite
Instalación 53  | 0,00        | 30,00     | ✓OK    
Instalación 54  | 90,00       | 90,00     | ✓Límite
Instalación 55  | 60,00       | 60,00     | ✓Límite
Instalación 56  | 0,00        | 30,00     | ✓OK    
Instalación 57  | 79,00       | 80,00     | ✓OK    
Instalación 58  | 0,00        | 70,00     | ✓OK    
Instalación 59  | 0,00        | 80,00     | ✓OK    
Instalación 60  | 0,00        | 100,00    | ✓OK    
Instalación 61  | 0,00        | 100,00    | ✓OK    
Instalación 62  | 0,00        | 30,00     | ✓OK    
Instalación 63  | 49,00       | 50,00     | ✓OK    
Instalación 64  | 0,00        | 90,00     | ✓OK    
Instalación 65  | 0,00        | 30,00     | ✓OK    
Instalación 66  | 90,00       | 90,00     | ✓Límite
Instalación 67  | 100,00      | 100,00    | ✓Límite
Instalación 68  | 89,00       | 90,00     | ✓OK    
Instalación 69  | 88,00       | 90,00     | ✓OK    
Instalación 70  | 0,00        | 90,00     | ✓OK    
Instalación 71  | 0,00        | 50,00     | ✓OK    
Instalación 72  | 0,00        | 30,00     | ✓OK    
Instalación 73  | 80,00       | 80,00     | ✓Límite
Instalación 74  | 0,00        | 70,00     | ✓OK    
Instalación 75  | 0,00        | 70,00     | ✓OK    
Instalación 76  | 76,00       | 80,00     | ✓OK    
Instalación 77  | 0,00        | 40,00     | ✓OK    
Instalación 78  | 80,00       | 80,00     | ✓Límite
Instalación 79  | 33,00       | 40,00     | ✓OK    
Instalación 80  | 89,00       | 90,00     | ✓OK    
Instalación 81  | 59,00       | 60,00     | ✓OK    
Instalación 82  | 0,00        | 70,00     | ✓OK    
Instalación 83  | 100,00      | 100,00    | ✓Límite
Instalación 84  | 0,00        | 50,00     | ✓OK    
Instalación 85  | 0,00        | 80,00     | ✓OK    
Instalación 86  | 0,00        | 80,00     | ✓OK    
Instalación 87  | 0,00        | 90,00     | ✓OK    
Instalación 88  | 0,00        | 80,00     | ✓OK    
Instalación 89  | 39,00       | 40,00     | ✓OK    
Instalación 90  | 0,00        | 50,00     | ✓OK    
Instalación 91  | 30,00       | 30,00     | ✓Límite
Instalación 92  | 60,00       | 60,00     | ✓Límite
Instalación 93  | 60,00       | 60,00     | ✓Límite
Instalación 94  | 60,00       | 60,00     | ✓Límite
Instalación 95  | 0,00        | 90,00     | ✓OK    
Instalación 96  | 0,00        | 30,00     | ✓OK    
Instalación 97  | 39,00       | 40,00     | ✓OK    
Instalación 98  | 0,00        | 70,00     | ✓OK    
Instalación 99  | 58,00       | 60,00     | ✓OK    
Instalación 100 | 70,00       | 70,00     | ✓Límite
Instalación 101 | 80,00       | 80,00     | ✓Límite
Instalación 102 | 0,00        | 100,00    | ✓OK    
Instalación 103 | 90,00       | 90,00     | ✓Límite
Instalación 104 | 47,00       | 50,00     | ✓OK    
Instalación 105 | 0,00        | 40,00     | ✓OK    
Instalación 106 | 0,00        | 90,00     | ✓OK    
Instalación 107 | 0,00        | 90,00     | ✓OK    
Instalación 108 | 0,00        | 40,00     | ✓OK    
Instalación 109 | 100,00      | 100,00    | ✓Límite
Instalación 110 | 0,00        | 30,00     | ✓OK    
Instalación 111 | 70,00       | 70,00     | ✓Límite
Instalación 112 | 0,00        | 90,00     | ✓OK    
Instalación 113 | 0,00        | 70,00     | ✓OK    
Instalación 114 | 39,00       | 40,00     | ✓OK    
Instalación 115 | 0,00        | 80,00     | ✓OK    
Instalación 116 | 0,00        | 90,00     | ✓OK    
Instalación 117 | 0,00        | 80,00     | ✓OK    
Instalación 118 | 0,00        | 50,00     | ✓OK    
Instalación 119 | 60,00       | 60,00     | ✓Límite
Instalación 120 | 30,00       | 30,00     | ✓Límite
Instalación 121 | 0,00        | 50,00     | ✓OK    
Instalación 122 | 0,00        | 80,00     | ✓OK    
Instalación 123 | 0,00        | 50,00     | ✓OK    
Instalación 124 | 50,00       | 50,00     | ✓Límite
Instalación 125 | 0,00        | 90,00     | ✓OK    
Instalación 126 | 0,00        | 80,00     | ✓OK    
Instalación 127 | 0,00        | 80,00     | ✓OK    
Instalación 128 | 0,00        | 70,00     | ✓OK    
Instalación 129 | 68,00       | 70,00     | ✓OK    
Instalación 130 | 59,00       | 60,00     | ✓OK    
Instalación 131 | 0,00        | 100,00    | ✓OK    
Instalación 132 | 0,00        | 70,00     | ✓OK    
Instalación 133 | 40,00       | 40,00     | ✓Límite
Instalación 134 | 0,00        | 30,00     | ✓OK    
Instalación 135 | 0,00        | 60,00     | ✓OK    
Instalación 136 | 100,00      | 100,00    | ✓Límite
Instalación 137 | 84,00       | 90,00     | ✓OK    
Instalación 138 | 60,00       | 60,00     | ✓Límite
Instalación 139 | 40,00       | 40,00     | ✓Límite
Instalación 140 | 0,00        | 100,00    | ✓OK    
Instalación 141 | 60,00       | 60,00     | ✓Límite
Instalación 142 | 0,00        | 80,00     | ✓OK    
Instalación 143 | 59,00       | 60,00     | ✓OK    
Instalación 144 | 30,00       | 30,00     | ✓Límite
Instalación 145 | 0,00        | 60,00     | ✓OK    
Instalación 146 | 89,00       | 90,00     | ✓OK    
Instalación 147 | 0,00        | 70,00     | ✓OK    
Instalación 148 | 0,00        | 50,00     | ✓OK    
Instalación 149 | 48,00       | 50,00     | ✓OK    
Instalación 150 | 0,00        | 100,00    | ✓OK    
Instalación 151 | 0,00        | 50,00     | ✓OK    
Instalación 152 | 0,00        | 50,00     | ✓OK    
Instalación 153 | 50,00       | 50,00     | ✓Límite
Instalación 154 | 0,00        | 70,00     | ✓OK    
Instalación 155 | 0,00        | 50,00     | ✓OK    
Instalación 156 | 79,00       | 80,00     | ✓OK    
Instalación 157 | 0,00        | 80,00     | ✓OK    
Instalación 158 | 0,00        | 90,00     | ✓OK    
Instalación 159 | 30,00       | 30,00     | ✓Límite
Instalación 160 | 79,00       | 80,00     | ✓OK    
Instalación 161 | 40,00       | 40,00     | ✓Límite
Instalación 162 | 0,00        | 30,00     | ✓OK    
Instalación 163 | 59,00       | 70,00     | ✓OK    
Instalación 164 | 60,00       | 60,00     | ✓Límite
Instalación 165 | 45,00       | 50,00     | ✓OK    
Instalación 166 | 79,00       | 80,00     | ✓OK    
Instalación 167 | 50,00       | 50,00     | ✓Límite
Instalación 168 | 0,00        | 100,00    | ✓OK    
Instalación 169 | 70,00       | 70,00     | ✓Límite
Instalación 170 | 38,00       | 40,00     | ✓OK    
Instalación 171 | 0,00        | 80,00     | ✓OK    
Instalación 172 | 0,00        | 70,00     | ✓OK    
Instalación 173 | 50,00       | 50,00     | ✓Límite
Instalación 174 | 0,00        | 80,00     | ✓OK    
Instalación 175 | 38,00       | 40,00     | ✓OK    
Instalación 176 | 40,00       | 40,00     | ✓Límite
Instalación 177 | 0,00        | 60,00     | ✓OK    
Instalación 178 | 100,00      | 100,00    | ✓Límite
Instalación 179 | 89,00       | 90,00     | ✓OK    
Instalación 180 | 0,00        | 70,00     | ✓OK    
