
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
----------------+---------+-----------
Instalación 0   | Cerrada | 0,00      
Instalación 1   | Cerrada | 0,00      
Instalación 2   | Abierta | 770,00    
Instalación 3   | Abierta | 660,00    
Instalación 4   | Abierta | 560,00    
Instalación 5   | Cerrada | 0,00      
Instalación 6   | Abierta | 280,00    
Instalación 7   | Abierta | 440,00    
Instalación 8   | Cerrada | 0,00      
Instalación 9   | Cerrada | 0,00      
Instalación 10  | Cerrada | 0,00      
Instalación 11  | Abierta | 680,00    
Instalación 12  | Cerrada | 0,00      
Instalación 13  | Abierta | 290,00    
Instalación 14  | Abierta | 360,00    
Instalación 15  | Cerrada | 0,00      
Instalación 16  | Abierta | 780,00    
Instalación 17  | Cerrada | 0,00      
Instalación 18  | Abierta | 340,00    
Instalación 19  | Cerrada | 0,00      
Instalación 20  | Cerrada | 0,00      
Instalación 21  | Abierta | 410,00    
Instalación 22  | Cerrada | 0,00      
Instalación 23  | Cerrada | 0,00      
Instalación 24  | Abierta | 520,00    
Instalación 25  | Abierta | 290,00    
Instalación 26  | Abierta | 780,00    
Instalación 27  | Cerrada | 0,00      
Instalación 28  | Abierta | 500,00    
Instalación 29  | Abierta | 530,00    
Instalación 30  | Cerrada | 0,00      
Instalación 31  | Abierta | 270,00    
Instalación 32  | Abierta | 560,00    
Instalación 33  | Abierta | 1150,00   
Instalación 34  | Cerrada | 0,00      
Instalación 35  | Cerrada | 0,00      
Instalación 36  | Cerrada | 0,00      
Instalación 37  | Cerrada | 0,00      
Instalación 38  | Abierta | 440,00    
Instalación 39  | Abierta | 550,00    
Instalación 40  | Cerrada | 0,00      
Instalación 41  | Cerrada | 0,00      
Instalación 42  | Cerrada | 0,00      
Instalación 43  | Cerrada | 0,00      
Instalación 44  | Abierta | 400,00    
Instalación 45  | Abierta | 610,00    
Instalación 46  | Cerrada | 0,00      
Instalación 47  | Abierta | 750,00    
Instalación 48  | Abierta | 510,00    
Instalación 49  | Abierta | 370,00    
Instalación 50  | Cerrada | 0,00      
Instalación 51  | Abierta | 280,00    
Instalación 52  | Cerrada | 0,00      
Instalación 53  | Abierta | 210,00    
Instalación 54  | Cerrada | 0,00      
Instalación 55  | Abierta | 820,00    
Instalación 56  | Abierta | 210,00    
Instalación 57  | Abierta | 490,00    
Instalación 58  | Abierta | 600,00    
Instalación 59  | Cerrada | 0,00      
Instalación 60  | Abierta | 540,00    
