
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente      | Instalación     | Demanda | Asignada | Porcentaje (%)
-------------+-----------------+---------+----------+---------------
Cliente 0    | Instalación 205 | 12,00   | 12,00    | 100,0 %       
Cliente 1    | Instalación 124 | 9,00    | 9,00     | 100,0 %       
Cliente 2    | Instalación 273 | 5,00    | 5,00     | 100,0 %       
Cliente 3    | Instalación 135 | 5,00    | 5,00     | 100,0 %       
Cliente 4    | Instalación 7   | 9,00    | 9,00     | 100,0 %       
Cliente 5    | Instalación 188 | 7,00    | 7,00     | 100,0 %       
Cliente 6    | Instalación 48  | 5,00    | 5,00     | 100,0 %       
Cliente 7    | Instalación 178 | 18,00   | 18,00    | 100,0 %       
Cliente 8    | Instalación 386 | 18,00   | 18,00    | 100,0 %       
Cliente 9    | Instalación 270 | 17,00   | 17,00    | 100,0 %       
Cliente 10   | Instalación 103 | 10,00   | 10,00    | 100,0 %       
Cliente 11   | Instalación 58  | 13,00   | 13,00    | 100,0 %       
Cliente 12   | Instalación 283 | 19,00   | 19,00    | 100,0 %       
Cliente 13   | Instalación 397 | 18,00   | 18,00    | 100,0 %       
Cliente 14   | Instalación 85  | 7,00    | 7,00     | 100,0 %       
Cliente 15   | Instalación 371 | 13,00   | 13,00    | 100,0 %       
Cliente 16   | Instalación 380 | 18,00   | 18,00    | 100,0 %       
Cliente 17   | Instalación 57  | 11,00   | 11,00    | 100,0 %       
Cliente 18   | Instalación 313 | 18,00   | 18,00    | 100,0 %       
Cliente 19   | Instalación 92  | 17,00   | 17,00    | 100,0 %       
Cliente 20   | Instalación 370 | 13,00   | 13,00    | 100,0 %       
Cliente 21   | Instalación 390 | 13,00   | 13,00    | 100,0 %       
Cliente 22   | Instalación 284 | 6,00    | 6,00     | 100,0 %       
Cliente 23   | Instalación 222 | 18,00   | 18,00    | 100,0 %       
Cliente 24   | Instalación 64  | 7,00    | 7,00     | 100,0 %       
Cliente 25   | Instalación 77  | 11,00   | 11,00    | 100,0 %       
Cliente 26   | Instalación 304 | 15,00   | 15,00    | 100,0 %       
Cliente 27   | Instalación 73  | 19,00   | 19,00    | 100,0 %       
Cliente 28   | Instalación 158 | 20,00   | 1,00     | 5,0 %         
Cliente 28   | Instalación 205 | 20,00   | 19,00    | 95,0 %        
Cliente 29   | Instalación 45  | 12,00   | 12,00    | 100,0 %       
Cliente 30   | Instalación 197 | 12,00   | 12,00    | 100,0 %       
Cliente 31   | Instalación 65  | 16,00   | 16,00    | 100,0 %       
Cliente 32   | Instalación 176 | 8,00    | 8,00     | 100,0 %       
Cliente 33   | Instalación 33  | 9,00    | 9,00     | 100,0 %       
Cliente 34   | Instalación 174 | 13,00   | 13,00    | 100,0 %       
Cliente 35   | Instalación 339 | 19,00   | 19,00    | 100,0 %       
Cliente 36   | Instalación 328 | 16,00   | 16,00    | 100,0 %       
Cliente 37   | Instalación 164 | 6,00    | 6,00     | 100,0 %       
Cliente 38   | Instalación 106 | 12,00   | 12,00    | 100,0 %       
Cliente 39   | Instalación 359 | 18,00   | 18,00    | 100,0 %       
Cliente 40   | Instalación 67  | 5,00    | 5,00     | 100,0 %       
Cliente 41   | Instalación 193 | 8,00    | 8,00     | 100,0 %       
Cliente 42   | Instalación 49  | 5,00    | 5,00     | 100,0 %       
Cliente 43   | Instalación 151 | 15,00   | 15,00    | 100,0 %       
Cliente 44   | Instalación 317 | 14,00   | 14,00    | 100,0 %       
Cliente 45   | Instalación 136 | 6,00    | 6,00     | 100,0 %       
Cliente 46   | Instalación 25  | 9,00    | 9,00     | 100,0 %       
Cliente 47   | Instalación 174 | 17,00   | 17,00    | 100,0 %       
Cliente 48   | Instalación 222 | 12,00   | 12,00    | 100,0 %       
Cliente 49   | Instalación 151 | 10,00   | 10,00    | 100,0 %       
Cliente 50   | Instalación 92  | 11,00   | 11,00    | 100,0 %       
Cliente 51   | Instalación 342 | 19,00   | 19,00    | 100,0 %       
Cliente 52   | Instalación 141 | 9,00    | 9,00     | 100,0 %       
Cliente 53   | Instalación 352 | 9,00    | 9,00     | 100,0 %       
Cliente 54   | Instalación 307 | 11,00   | 11,00    | 100,0 %       
Cliente 55   | Instalación 325 | 15,00   | 15,00    | 100,0 %       
Cliente 56   | Instalación 92  | 16,00   | 16,00    | 100,0 %       
Cliente 57   | Instalación 368 | 14,00   | 14,00    | 100,0 %       
Cliente 58   | Instalación 64  | 5,00    | 5,00     | 100,0 %       
Cliente 59   | Instalación 229 | 12,00   | 12,00    | 100,0 %       
Cliente 60   | Instalación 359 | 14,00   | 14,00    | 100,0 %       
Cliente 61   | Instalación 219 | 12,00   | 12,00    | 100,0 %       
Cliente 62   | Instalación 176 | 15,00   | 15,00    | 100,0 %       
Cliente 63   | Instalación 170 | 19,00   | 19,00    | 100,0 %       
Cliente 64   | Instalación 16  | 8,00    | 8,00     | 100,0 %       
Cliente 65   | Instalación 71  | 11,00   | 11,00    | 100,0 %       
Cliente 66   | Instalación 236 | 16,00   | 16,00    | 100,0 %       
Cliente 67   | Instalación 217 | 13,00   | 13,00    | 100,0 %       
Cliente 68   | Instalación 75  | 17,00   | 17,00    | 100,0 %       
Cliente 69   | Instalación 314 | 8,00    | 8,00     | 100,0 %       
Cliente 70   | Instalación 219 | 13,00   | 13,00    | 100,0 %       
Cliente 71   | Instalación 125 | 7,00    | 7,00     | 100,0 %       
Cliente 72   | Instalación 270 | 7,00    | 7,00     | 100,0 %       
Cliente 73   | Instalación 163 | 15,00   | 15,00    | 100,0 %       
Cliente 74   | Instalación 387 | 16,00   | 16,00    | 100,0 %       
