
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente      | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
-------------+-----------------+--------------+--------------------+---------
Cliente 0    | Instalación 15  | 15,00        | 1,00               | 15,00   
Cliente 1    | Instalación 261 | 20,00        | 1,00               | 20,00   
Cliente 2    | Instalación 406 | 11,00        | 2,00               | 22,00   
Cliente 3    | Instalación 285 | 13,00        | 1,00               | 13,00   
Cliente 4    | Instalación 473 | 7,00         | 8,00               | 56,00   
Cliente 5    | Instalación 177 | 9,00         | 6,00               | 54,00   
Cliente 6    | Instalación 478 | 12,00        | 3,00               | 36,00   
Cliente 7    | Instalación 237 | 20,00        | 4,00               | 80,00   
Cliente 8    | Instalación 444 | 16,00        | 4,00               | 64,00   
Cliente 9    | Instalación 304 | 7,00         | 4,00               | 28,00   
Cliente 10   | Instalación 119 | 14,00        | 6,00               | 84,00   
Cliente 11   | Instalación 194 | 9,00         | 6,00               | 54,00   
Cliente 12   | Instalación 255 | 13,00        | 5,00               | 65,00   
Cliente 13   | Instalación 453 | 7,00         | 2,00               | 14,00   
Cliente 14   | Instalación 278 | 7,00         | 4,00               | 28,00   
Cliente 15   | Instalación 355 | 20,00        | 1,00               | 20,00   
Cliente 16   | Instalación 416 | 14,00        | 6,00               | 84,00   
Cliente 17   | Instalación 55  | 2,00         | 4,00               | 8,00    
Cliente 17   | Instalación 211 | 13,00        | 4,00               | 52,00   
Cliente 18   | Instalación 116 | 15,00        | 5,00               | 75,00   
Cliente 19   | Instalación 79  | 12,00        | 5,00               | 60,00   
Cliente 20   | Instalación 465 | 16,00        | 4,00               | 64,00   
Cliente 21   | Instalación 105 | 16,00        | 4,00               | 64,00   
Cliente 22   | Instalación 125 | 18,00        | 5,00               | 90,00   
Cliente 23   | Instalación 292 | 17,00        | 3,00               | 51,00   
Cliente 24   | Instalación 306 | 8,00         | 6,00               | 48,00   
Cliente 25   | Instalación 241 | 6,00         | 4,00               | 24,00   
Cliente 26   | Instalación 232 | 9,00         | 4,00               | 36,00   
Cliente 27   | Instalación 189 | 6,00         | 11,00              | 66,00   
Cliente 28   | Instalación 395 | 14,00        | 2,00               | 28,00   
Cliente 29   | Instalación 491 | 18,00        | 3,00               | 54,00   
Cliente 30   | Instalación 326 | 19,00        | 1,00               | 19,00   
Cliente 31   | Instalación 222 | 11,00        | 1,00               | 11,00   
Cliente 32   | Instalación 490 | 5,00         | 1,00               | 5,00    
Cliente 33   | Instalación 88  | 14,00        | 2,00               | 28,00   
Cliente 34   | Instalación 462 | 12,00        | 2,00               | 24,00   
Cliente 35   | Instalación 56  | 19,00        | 5,00               | 95,00   
Cliente 36   | Instalación 85  | 14,00        | 0,00               | 0,00    
Cliente 37   | Instalación 22  | 19,00        | 4,00               | 76,00   
Cliente 38   | Instalación 488 | 19,00        | 1,00               | 19,00   
Cliente 39   | Instalación 475 | 15,00        | 5,00               | 75,00   
Cliente 40   | Instalación 230 | 13,00        | 2,00               | 26,00   
Cliente 41   | Instalación 135 | 9,00         | 3,00               | 27,00   
Cliente 42   | Instalación 148 | 10,00        | 2,00               | 20,00   
Cliente 43   | Instalación 73  | 14,00        | 7,00               | 98,00   
Cliente 43   | Instalación 363 | 1,00         | 6,00               | 6,00    
Cliente 44   | Instalación 48  | 12,00        | 2,00               | 24,00   
